ride_id,user_id,driver_id,ride_datetime,pickup_location,dropoff_location,distance_km,ride_duration_min,fare_amount,payment_method,ride_status,user_rating,driver_rating,surge_pricing,promo_code_used,vehicle_type,weather_condition,traffic_level,driver_experience_years,user_type
R000024,U8849,D869,4/1/2024 6:11,Downtown,Mall,22.43,59.00,71.34,Cash,Completed,4.3,4.4,No,No,SUV,Clear,Medium,2,New
R000025,U3047,D352,4/1/2024 15:32,Downtown,University,24.66,77.00,93.41,Cash,Completed,3.6,3.4,No,No,Shared,Clear,High,10,Frequent
R000026,U3747,D833,5/1/2024 6:15,Midtown,University,14.30,35.00,50.41,Mobile Wallet,No-show,3.1,1.5,No,No,SUV,Foggy,Low,4,Frequent
R000027,U1189,D577,5/1/2024 16:42,Midtown,Downtown,13.59,53.00,38.13,Credit Card,Completed,4.1,3.3,No,Yes,Sedan,Clear,Medium,8,Returning
R000028,U3734,D468,5/1/2024 18:14,Financial District,Midtown,23.97,88.00,65.95,Credit Card,Completed,4.7,3.9,No,No,Motorcycle,Foggy,Low,8,New
R000029,U4005,D778,3/1/2024 12:25,Mall,Mall,13.81,54.00,55.54,Mobile Wallet,Completed,3.3,3.8,No,No,SUV,Clear,High,7,Returning
R000030,U5658,D259,7/1/2024 9:50,Mall,Midtown,20.75,49.00,75.69,Credit Card,Canceled,1.4,3.2,No,No,Electric,Rainy,Medium,1,Frequent
R000031,U2899,D265,2/1/2024 3:49,Mall,Suburbs,18.52,68.00,51.81,Credit Card,Canceled,3.4,3.5,No,Yes,Sedan,Thunderstorm,Low,2,Frequent
R000032,U8734,D304,6/1/2024 18:31,Suburbs,Midtown,18.83,59.00,66.46,Credit Card,Completed,4.4,4.9,No,No,Sedan,Clear,Medium,10,Returning
R000033,U2267,D366,2/1/2024 14:31,Financial District,Midtown,29.20,77.00,88.41,Mobile Wallet,Completed,3.9,4.6,No,No,SUV,Rainy,Medium,1,New
R000034,U2528,D237,3/1/2024 10:09,Suburbs,Financial District,24.94,74.00,84.87,Cash,Completed,4.9,3.6,No,Yes,SUV,Clear,High,3,Returning
R000035,U4556,D467,5/1/2024 6:03,University,Financial District,33.66,131.00,109.48,Credit Card,Completed,4.7,3.5,No,No,Sedan,Foggy,Medium,3,New
R000036,U4890,D542,5/1/2024 1:55,University,Mall,27.89,94.00,79.90,Credit Card,Completed,4.0,3.3,No,No,Sedan,Clear,Medium,7,Returning
R000037,U9838,D957,7/1/2024 8:16,Airport,Suburbs,5.96,16.00,20.06,Cash,Completed,3.2,3.6,Yes,No,Sedan,Clear,Medium,4,Frequent
R000038,U6393,D859,6/1/2024 1:27,Mall,Airport,26.11,104.00,83.36,Credit Card,Completed,3.9,4.4,No,No,Motorcycle,Clear,Medium,10,Returning
R000039,U9792,D666,6/1/2024 18:01,Midtown,Suburbs,23.63,64.00,90.73,Credit Card,Completed,4.2,4.6,Yes,No,Motorcycle,Clear,Low,7,New
R000040,U9433,D820,3/1/2024 10:00,Airport,Suburbs,22.97,83.00,72.59,Credit Card,Canceled,1.5,2.4,Yes,Yes,SUV,Thunderstorm,Medium,3,Returning
R000041,U8513,D116,4/1/2024 11:44,Airport,Downtown,17.35,62.00,59.17,Cash,Completed,4.1,4.6,No,No,SUV,Rainy,Medium,1,Returning
R000042,U3612,D167,1/1/2024 17:19,Midtown,University,3.12,11.00,12.84,Cash,Canceled,2.2,3.0,No,No,SUV,Clear,Low,6,Returning
R000043,U8041,D232,1/1/2024 3:11,Airport,Midtown,33.35,111.00,101.26,Cash,Completed,3.9,4.9,No,Yes,SUV,Clear,High,8,New
R000044,U7235,D799,4/1/2024 23:34,Mall,Downtown,29.97,66.00,105.33,Credit Card,Completed,3.9,3.5,No,No,Electric,Foggy,Medium,8,New
R000045,U6486,D529,3/1/2024 15:09,Downtown,Mall,17.55,70.00,54.30,Cash,Canceled,2.7,1.2,Yes,No,SUV,Clear,Low,5,Returning
R000046,U8099,D407,6/1/2024 2:18,Suburbs,University,6.39,15.00,25.94,Credit Card,Completed,4.1,3.7,No,Yes,Motorcycle,Clear,Low,3,Frequent
R000047,U1775,D749,5/1/2024 4:24,Mall,Mall,29.03,93.00,88.61,Cash,Completed,4.0,3.7,No,No,Sedan,Clear,Medium,4,Frequent
R000048,U9226,D273,2/1/2024 3:34,Financial District,Midtown,15.64,39.00,52.02,Credit Card,Canceled,1.5,1.2,No,No,SUV,Clear,Low,3,Returning
R000049,U4152,D511,1/1/2024 8:22,Midtown,Mall,14.26,33.00,45.44,Cash,Completed,3.4,3.4,Yes,No,SUV,Foggy,Medium,4,Returning
R000050,U2585,D196,2/1/2024 11:32,Downtown,Suburbs,23.62,74.00,69.91,Credit Card,Completed,4.2,4.1,No,Yes,Sedan,Clear,Medium,8,Returning
R000051,U4943,D782,5/1/2024 3:56,University,Midtown,26.79,98.00,90.08,Mobile Wallet,Completed,4.7,3.5,No,No,SUV,Clear,Low,8,Frequent
R000052,U8555,D253,4/1/2024 10:15,Financial District,Airport,3.14,9.00,13.88,Cash,Completed,4.3,3.6,No,No,Electric,Clear,Medium,6,Returning
R000053,U4073,D794,4/1/2024 10:21,Financial District,Airport,27.10,58.00,83.21,Credit Card,Completed,4.6,4.8,Yes,No,Sedan,Rainy,Low,9,Returning
R000054,U2021,D341,1/1/2024 14:23,Financial District,Suburbs,25.95,84.00,80.59,Mobile Wallet,Completed,3.9,4.1,No,Yes,Electric,Clear,Medium,6,New
R000055,U4843,D403,6/1/2024 5:37,Airport,Mall,21.03,74.00,78.05,Credit Card,Completed,4.3,4.1,Yes,Yes,SUV,Clear,Low,8,Returning
R000056,U8989,D384,3/1/2024 18:16,Airport,Financial District,12.51,32.00,51.16,Credit Card,Completed,3.8,3.8,Yes,No,SUV,Clear,Low,4,Frequent
R000057,U7873,D126,6/1/2024 14:58,Airport,Airport,6.60,22.00,21.29,Credit Card,Completed,4.2,3.0,No,Yes,SUV,Rainy,Low,9,Returning
R000058,U6675,D501,3/1/2024 14:44,Mall,Suburbs,4.49,10.00,20.17,Cash,Completed,4.7,3.0,No,No,SUV,Rainy,Medium,9,New
R000059,U1161,D459,3/1/2024 21:21,Airport,Downtown,1.04,3.00,5.73,Mobile Wallet,No-show,1.8,1.9,No,No,Motorcycle,Foggy,High,10,Returning
R000060,U5297,D159,6/1/2024 0:25,Downtown,Financial District,8.02,24.00,25.77,Mobile Wallet,Completed,4.9,3.1,No,No,Electric,Foggy,Medium,6,Returning
R000061,U1995,D301,7/1/2024 2:37,Airport,Airport,14.99,53.00,49.57,Cash,Completed,3.2,3.1,No,No,Motorcycle,Rainy,Low,5,Frequent
R000062,U8629,D861,2/1/2024 8:24,Midtown,Suburbs,9.28,25.00,33.95,Credit Card,No-show,2.0,2.8,No,No,Sedan,Clear,Low,9,New
R000063,U2016,D973,3/1/2024 10:34,Financial District,Suburbs,11.51,33.00,42.51,Cash,Canceled,3.2,2.2,No,Yes,SUV,Clear,High,2,Returning
R000064,U8869,D680,3/1/2024 13:52,Downtown,Downtown,14.28,47.00,54.05,Credit Card,Completed,3.6,4.1,No,No,SUV,Rainy,High,5,Returning
R000065,U7439,D469,2/1/2024 15:06,University,Downtown,11.48,37.00,37.94,Cash,Completed,3.2,5.0,Yes,No,SUV,Thunderstorm,Medium,8,Frequent
R000066,U8892,D632,2/1/2024 15:14,Airport,Financial District,25.64,78.00,80.96,Cash,Completed,4.6,4.3,No,Yes,SUV,Foggy,Medium,4,Frequent
R000067,U7863,D251,7/1/2024 1:23,University,University,17.72,47.00,55.95,Credit Card,No-show,2.8,1.8,No,No,SUV,Clear,Medium,10,Frequent
R000068,U8916,D201,4/1/2024 12:42,Financial District,Airport,1.66,6.00,14.24,Mobile Wallet,Completed,3.2,4.9,No,No,Sedan,Foggy,High,2,New
R000069,U9529,D998,5/1/2024 9:17,Downtown,Suburbs,8.71,32.00,36.69,Cash,Completed,4.1,3.6,Yes,No,SUV,Clear,Medium,5,Returning
R000070,U1878,D706,4/1/2024 23:39,Financial District,Financial District,25.13,58.00,72.84,Mobile Wallet,Completed,4.8,3.5,No,No,Sedan,Clear,Medium,6,New
R000071,U5887,D545,6/1/2024 2:12,University,Mall,11.23,30.00,41.76,Cash,No-show,1.3,3.0,No,Yes,Shared,Clear,Medium,2,Frequent
R000072,U5859,D972,1/1/2024 19:25,Mall,Financial District,32.28,108.00,103.63,Credit Card,Completed,4.9,4.8,No,Yes,Shared,Clear,Medium,1,Returning
R000073,U7331,D328,6/1/2024 19:19,Downtown,Mall,25.23,89.00,82.00,Mobile Wallet,Completed,4.4,3.1,No,No,SUV,Thunderstorm,Low,5,Returning
R000074,U9571,D224,6/1/2024 19:54,Suburbs,Downtown,10.86,39.00,35.82,Cash,Completed,3.8,4.1,No,Yes,SUV,Clear,Medium,2,Returning
R000075,U9684,D869,5/1/2024 19:56,Mall,Suburbs,18.56,61.00,54.14,Cash,Canceled,3.2,1.5,No,Yes,SUV,Clear,Low,8,Returning
R000076,U8208,D933,3/1/2024 7:46,Downtown,Midtown,23.69,70.00,77.75,Credit Card,Completed,3.8,4.8,Yes,No,Sedan,Clear,High,10,Frequent
R000077,U6276,D980,7/1/2024 0:06,Airport,University,7.57,25.00,31.14,Credit Card,Completed,3.8,4.1,No,No,SUV,Clear,Medium,2,Returning
R000078,U3062,D335,6/1/2024 2:07,University,University,9.37,21.00,35.30,Mobile Wallet,Completed,4.6,3.1,No,No,Sedan,Clear,Medium,7,Frequent
R000079,U1064,D261,4/1/2024 17:00,Financial District,Downtown,18.24,44.00,69.82,Credit Card,No-show,3.3,2.0,No,Yes,Sedan,Rainy,Medium,6,Frequent
R000080,U9006,D653,2/1/2024 16:14,Financial District,Mall,32.45,125.00,95.37,Credit Card,Completed,4.3,4.2,No,Yes,Sedan,Clear,Medium,6,Returning
R000081,U3568,D887,4/1/2024 21:53,Financial District,Suburbs,12.70,49.00,36.88,Credit Card,Completed,4.8,3.6,No,No,Sedan,Clear,Medium,5,New
R000082,U6463,D452,2/1/2024 11:11,Midtown,Financial District,14.67,51.00,42.70,Credit Card,Completed,4.2,4.1,No,No,Sedan,Clear,Medium,10,Frequent
R000083,U3027,D167,7/1/2024 18:56,Midtown,University,7.48,20.00,25.01,Credit Card,Completed,4.2,4.9,No,No,Sedan,Rainy,Medium,4,Returning
R000084,U3695,D272,6/1/2024 14:24,Airport,Financial District,21.17,70.00,63.68,Credit Card,Completed,4.7,4.1,No,Yes,Sedan,Clear,Low,4,Frequent
R000085,U6258,D942,3/1/2024 6:05,Suburbs,Airport,26.17,88.00,85.32,Credit Card,Completed,3.7,3.2,No,No,Sedan,Rainy,Medium,1,Returning
R000086,U6618,D736,5/1/2024 11:57,Midtown,Midtown,15.98,48.00,52.88,Credit Card,Completed,4.7,5.0,No,No,Shared,Clear,Low,3,New
R000087,U7736,D781,3/1/2024 14:41,Downtown,Downtown,26.51,93.00,79.85,Cash,Completed,4.7,3.4,No,Yes,Sedan,Clear,Medium,1,Frequent
R000088,U1391,D658,3/1/2024 18:58,Mall,Mall,11.29,23.00,38.16,Credit Card,Completed,3.8,3.9,No,Yes,Electric,Clear,Medium,1,Frequent
R000089,U6892,D360,1/1/2024 8:49,University,University,25.04,63.00,76.60,Cash,Completed,4.3,3.8,No,No,Sedan,Clear,Medium,8,Returning
R000090,U4561,D316,1/1/2024 8:06,Airport,Airport,9.78,35.00,37.02,Credit Card,Completed,3.1,4.9,No,No,Sedan,Clear,High,5,Returning
R000091,U7184,D916,4/1/2024 22:02,Mall,Airport,27.54,107.00,88.52,Credit Card,Completed,4.2,3.7,No,Yes,Shared,Rainy,Low,10,New
R000092,U4099,D223,7/1/2024 9:11,Suburbs,Midtown,29.24,110.00,86.29,Credit Card,Completed,4.8,4.9,No,No,Sedan,Foggy,Medium,10,Frequent
R000093,U7278,D904,7/1/2024 22:15,Mall,Downtown,28.12,97.00,94.23,Mobile Wallet,Completed,4.1,3.7,No,No,SUV,Rainy,High,6,Returning
R000094,U9392,D261,5/1/2024 5:05,Downtown,Downtown,8.33,19.00,31.66,Mobile Wallet,Completed,3.9,3.1,No,Yes,Sedan,Clear,Low,6,Frequent
R000095,U4104,D300,1/1/2024 6:44,Financial District,Financial District,24.60,67.00,76.99,Cash,No-show,2.3,1.3,No,No,Shared,Clear,Medium,6,Returning
R000096,U8215,D553,1/1/2024 12:40,Midtown,Downtown,19.31,41.00,64.84,Cash,Completed,3.3,4.8,No,No,Sedan,Rainy,Medium,3,New
R000097,U3454,D501,1/1/2024 11:02,Downtown,Airport,34.53,113.00,104.00,Cash,Completed,3.8,4.9,No,Yes,Sedan,Clear,Medium,4,New
R000098,U9996,D561,1/1/2024 15:02,Suburbs,Financial District,13.29,39.00,51.29,Credit Card,Completed,3.4,4.8,Yes,No,SUV,Clear,Medium,9,Returning
R000099,U3731,D374,2/1/2024 16:06,Airport,Downtown,27.22,86.00,81.20,Mobile Wallet,No-show,1.5,1.6,No,No,Electric,Clear,Medium,8,New
R000100,U9154,D305,7/1/2024 5:27,Mall,Mall,13.58,54.00,49.73,Cash,Completed,3.2,4.8,No,No,SUV,Clear,Low,7,New
R000101,U6056,D139,2/1/2024 4:14,Downtown,Mall,14.49,41.00,54.43,Credit Card,Canceled,3.2,3.1,Yes,Yes,Electric,Clear,Medium,2,Frequent
R000102,U9110,D372,3/1/2024 5:30,Airport,Midtown,4.77,12.00,18.28,Credit Card,Canceled,1.7,2.0,No,Yes,Electric,Clear,High,6,Returning
R000103,U4840,D799,4/1/2024 23:13,Financial District,Airport,9.15,21.00,40.07,Credit Card,Completed,4.8,4.7,No,Yes,Shared,Rainy,Medium,5,Returning
R000104,U2028,D966,5/1/2024 4:00,Suburbs,Suburbs,6.59,15.00,28.96,Credit Card,Completed,4.0,3.6,Yes,Yes,Sedan,Clear,Medium,1,Frequent
R000105,U8385,D192,2/1/2024 23:03,Suburbs,Midtown,6.41,19.00,22.15,Mobile Wallet,Completed,3.7,3.6,No,No,SUV,Clear,High,7,Frequent
R000106,U1502,D141,3/1/2024 13:46,Mall,Midtown,1.31,5.00,10.67,Cash,Completed,3.6,4.0,Yes,No,SUV,Clear,Low,10,New
R000107,U7910,D564,5/1/2024 20:03,Midtown,Downtown,27.99,88.00,97.11,Credit Card,Completed,3.8,3.8,Yes,No,Sedan,Clear,High,6,Returning
R000108,U7938,D478,3/1/2024 21:07,University,Financial District,16.91,63.00,56.61,Credit Card,Completed,3.6,4.7,No,Yes,Shared,Clear,Medium,6,Returning
R000109,U5488,D206,7/1/2024 0:47,Suburbs,Financial District,28.34,75.00,103.07,Mobile Wallet,Completed,4.2,3.4,No,Yes,Sedan,Clear,Medium,6,Returning
R000110,U1206,D427,7/1/2024 8:42,Downtown,Mall,21.83,70.00,77.56,Cash,Completed,4.9,4.2,Yes,Yes,SUV,Rainy,Medium,3,Returning
R000111,U6134,D164,6/1/2024 17:39,Downtown,Airport,29.27,97.00,109.22,Mobile Wallet,Canceled,3.4,1.8,No,Yes,SUV,Rainy,Low,4,New
R000112,U6977,D464,2/1/2024 22:15,Downtown,Downtown,18.13,46.00,61.19,Cash,Completed,4.4,3.5,No,Yes,Sedan,Rainy,Medium,2,Returning
R000113,U8721,D920,6/1/2024 16:54,Financial District,Financial District,4.20,12.00,16.09,Credit Card,Completed,4.6,3.3,Yes,No,SUV,Clear,Medium,9,Returning
R000114,U8035,D583,5/1/2024 8:54,Suburbs,Mall,21.97,70.00,75.29,Cash,Canceled,1.6,1.3,No,No,Sedan,Clear,Medium,9,New
R000115,U2484,D746,6/1/2024 13:32,Suburbs,University,24.04,49.00,64.28,Cash,Completed,4.3,3.9,No,No,Sedan,Rainy,Medium,9,Frequent
R000116,U8858,D123,4/1/2024 17:57,Downtown,Suburbs,22.30,84.00,71.13,Credit Card,Completed,3.9,3.8,No,Yes,SUV,Snowy,Medium,10,New
R000117,U1863,D639,4/1/2024 2:43,Mall,University,28.25,63.00,96.85,Credit Card,Completed,3.6,3.7,No,No,SUV,Thunderstorm,Low,3,Returning
R000118,U3790,D161,2/1/2024 6:50,Midtown,Downtown,25.87,54.00,76.76,Credit Card,Completed,4.2,4.0,No,No,SUV,Foggy,Low,4,New
R000119,U8408,D590,7/1/2024 5:22,Mall,Downtown,15.71,38.00,47.99,Mobile Wallet,Completed,4.5,3.3,Yes,No,Sedan,Clear,Low,3,Frequent
R000120,U9755,D372,6/1/2024 3:05,Midtown,Financial District,28.85,87.00,86.19,Cash,Completed,3.6,4.0,No,No,Motorcycle,Rainy,Medium,3,Returning
R000121,U6116,D328,6/1/2024 21:01,Suburbs,Midtown,24.52,65.00,73.73,Credit Card,Completed,4.1,3.5,No,No,Sedan,Rainy,Medium,9,Returning
R000122,U7019,D119,2/1/2024 1:28,Mall,Downtown,5.09,15.00,22.45,Cash,Completed,4.3,3.0,No,No,Sedan,Clear,High,9,Returning
R000123,U2757,D102,2/1/2024 1:36,Suburbs,Midtown,19.36,42.00,61.99,Credit Card,Completed,4.3,4.7,No,Yes,SUV,Foggy,Medium,3,Frequent
R000124,U8574,D520,6/1/2024 14:41,Airport,Airport,25.77,64.00,88.03,Credit Card,Completed,3.5,3.5,Yes,Yes,Shared,Clear,High,7,Returning
R000125,U7374,D829,4/1/2024 17:45,Suburbs,Mall,19.81,43.00,54.73,Cash,Completed,3.2,3.4,Yes,Yes,Sedan,Rainy,Medium,4,Returning
R000126,U7892,D406,4/1/2024 11:10,Mall,Airport,33.27,82.00,103.65,Credit Card,Completed,3.5,3.7,No,No,SUV,Clear,Low,5,New
R000127,U2678,D531,6/1/2024 19:46,Downtown,Financial District,4.45,15.00,17.39,Cash,Completed,4.8,4.2,No,No,Sedan,Clear,Medium,4,New
R000128,U4242,D235,5/1/2024 13:53,University,Airport,25.56,81.00,71.84,Credit Card,Completed,3.4,4.7,Yes,No,SUV,Clear,Medium,3,Returning
R000129,U5636,D614,6/1/2024 14:28,Financial District,University,29.03,77.00,99.56,Mobile Wallet,Completed,4.3,4.1,No,No,Sedan,Snowy,Medium,8,New
R000130,U2059,D292,2/1/2024 9:18,Suburbs,University,24.89,63.00,72.98,Credit Card,Completed,4.2,4.7,No,No,SUV,Clear,Low,9,Frequent
R000131,U7668,D684,3/1/2024 17:16,Suburbs,University,14.11,56.00,43.55,Mobile Wallet,Completed,3.4,4.3,No,No,SUV,Clear,Low,10,New
R000132,U4157,D514,3/1/2024 2:45,Downtown,Financial District,14.11,50.00,46.59,Cash,Completed,4.0,3.3,Yes,Yes,Motorcycle,Rainy,Medium,9,New
R000133,U6915,D972,1/1/2024 7:05,Airport,Financial District,20.94,76.00,74.24,Mobile Wallet,Completed,3.7,4.2,No,Yes,Electric,Clear,High,7,Returning
R000134,U3693,D217,6/1/2024 15:10,University,University,14.50,30.00,50.45,Credit Card,Completed,3.1,4.2,No,Yes,Motorcycle,Clear,Medium,9,New
R000135,U4627,D765,3/1/2024 23:56,Suburbs,Midtown,31.03,66.00,106.57,Mobile Wallet,Completed,3.2,3.8,Yes,No,SUV,Clear,High,3,Returning
R000136,U6450,D308,3/1/2024 2:36,Midtown,University,4.74,16.00,17.29,Credit Card,Completed,3.8,3.3,No,No,SUV,Clear,Medium,4,Returning
R000137,U2663,D133,2/1/2024 12:51,Midtown,Midtown,22.73,54.00,78.59,Credit Card,No-show,3.1,2.1,Yes,No,SUV,Clear,Medium,7,New
R000138,U6592,D748,3/1/2024 14:24,Midtown,Airport,5.56,16.00,22.17,Credit Card,Canceled,2.9,2.7,Yes,Yes,SUV,Clear,Medium,5,Frequent
R000139,U8392,D417,4/1/2024 8:02,Financial District,Midtown,19.37,46.00,73.14,Credit Card,Completed,4.1,4.9,No,No,SUV,Rainy,Medium,7,Frequent
R000140,U2306,D219,3/1/2024 18:49,Financial District,Downtown,25.33,60.00,90.46,Cash,Completed,3.8,3.3,No,Yes,Sedan,Clear,Low,9,Frequent
R000141,U7776,D726,2/1/2024 10:25,University,Suburbs,6.63,15.00,24.84,Credit Card,Completed,4.4,4.6,No,Yes,Motorcycle,Clear,High,6,New
R000142,U6864,D624,5/1/2024 22:23,Suburbs,Downtown,24.94,80.00,84.88,Credit Card,Completed,4.4,3.5,No,Yes,Shared,Clear,Low,6,Frequent
R000143,U8526,D680,6/1/2024 16:57,Suburbs,Downtown,5.76,20.00,26.79,Mobile Wallet,Completed,3.1,4.3,No,No,Sedan,Clear,High,1,Frequent
R000144,U9901,D944,6/1/2024 6:37,Suburbs,Financial District,22.10,47.00,71.03,Mobile Wallet,Completed,3.4,3.6,No,No,Sedan,Rainy,Low,2,New
R000145,U6575,D868,3/1/2024 16:26,Financial District,Suburbs,18.19,46.00,62.23,Cash,Completed,3.9,4.0,No,Yes,SUV,Rainy,High,3,New
R000146,U6530,D188,4/1/2024 16:24,University,Financial District,11.13,37.00,38.68,Cash,Completed,3.7,4.5,No,No,SUV,Clear,High,9,New
R000147,U5413,D611,3/1/2024 6:23,Suburbs,Midtown,4.79,13.00,20.76,Credit Card,Completed,4.0,4.0,Yes,No,SUV,Rainy,Medium,4,Returning
R000148,U4748,D146,6/1/2024 23:49,Downtown,University,26.02,89.00,79.22,Credit Card,Completed,4.6,3.7,No,No,Electric,Clear,High,1,Frequent
R000149,U1663,D871,4/1/2024 20:54,Airport,Mall,13.98,49.00,55.23,Cash,Completed,4.9,3.9,No,Yes,Motorcycle,Clear,Medium,5,Returning
R000150,U2998,D839,4/1/2024 3:40,Mall,Mall,3.94,8.00,20.76,Credit Card,Completed,4.2,4.2,No,No,Shared,Clear,Medium,9,New
R000151,U8994,D791,5/1/2024 16:51,Midtown,Mall,27.27,75.00,86.61,Cash,Canceled,3.4,3.3,No,Yes,Electric,Clear,High,5,Returning
R000152,U2495,D621,6/1/2024 6:47,Midtown,Midtown,8.92,31.00,26.64,Credit Card,Completed,3.3,3.3,No,No,Sedan,Clear,Low,5,Returning
R000153,U4304,D383,7/1/2024 20:03,Downtown,Suburbs,26.04,72.00,75.04,Cash,Completed,4.9,3.4,No,Yes,SUV,Rainy,Low,6,Frequent
R000154,U4763,D476,7/1/2024 13:41,Suburbs,Airport,20.21,41.00,67.90,Mobile Wallet,Canceled,1.6,2.5,No,No,Sedan,Clear,High,7,Returning
R000155,U6232,D737,3/1/2024 8:48,University,Midtown,7.61,20.00,28.64,Cash,Canceled,1.9,1.6,No,No,Electric,Clear,Medium,9,New
R000156,U2853,D233,7/1/2024 10:36,University,Downtown,3.60,13.00,18.75,Credit Card,Canceled,1.0,2.0,No,No,Sedan,Clear,High,6,Frequent
R000157,U7585,D766,5/1/2024 18:31,Financial District,Suburbs,21.17,83.00,74.73,Credit Card,Completed,4.5,3.6,No,No,Sedan,Clear,Medium,3,Frequent
R000158,U2291,D347,2/1/2024 22:56,Suburbs,Suburbs,1.86,6.00,7.92,Cash,Canceled,2.3,2.8,No,Yes,Sedan,Foggy,Medium,2,Frequent
R000159,U4581,D751,1/1/2024 14:29,University,Midtown,3.23,8.00,13.99,Cash,Completed,4.4,4.1,No,Yes,SUV,Clear,Medium,3,New
R000160,U8554,D417,6/1/2024 17:35,Suburbs,Midtown,24.88,73.00,66.69,Cash,Completed,3.9,4.0,No,No,Sedan,Clear,Low,5,Frequent
R000161,U8280,D535,4/1/2024 1:41,Midtown,Financial District,19.32,48.00,60.15,Cash,Completed,3.9,3.8,No,Yes,Sedan,Clear,Medium,10,Returning
R000162,U2636,D275,1/1/2024 6:47,Mall,Financial District,12.09,28.00,35.16,Cash,Completed,3.4,4.1,No,No,Shared,Foggy,Low,1,Returning
